table,rows,columns
actividad_ce,52,"actividad_id (TEXT) [PK], ce_codigo (TEXT) [PK], puntuacion (REAL), razon (TEXT), evidencias (TEXT), incluido (INTEGER)"
actividad_estado_historial,19,"id (TEXT) [PK], actividad_id (TEXT), estado (TEXT), fecha (TEXT), meta (TEXT)"
actividad_nota,12,"id (TEXT) [PK], actividad_id (TEXT), alumno_id (TEXT), nota (REAL), created_at (TEXT), updated_at (TEXT)"
actividad_nota_old,4,"actividad_id (TEXT) [PK], alumno_id (INTEGER) [PK], nota (REAL), updated_at (TEXT)"
actividades,13,"id (TEXT) [PK], nombre (TEXT), fecha (TEXT), curso_id (TEXT), asignatura_id (TEXT), descripcion (TEXT), estado (TEXT), umbral_aplicado (INTEGER), analisis_fecha (TEXT), programada_para (TEXT), programada_fin (TEXT), evaluada_fecha (TEXT)"
alumno_ce,60,"id (TEXT) [PK], alumno_id (TEXT), ce_codigo (TEXT), actividad_id (TEXT), nota (REAL)"
alumnos,6,"id (INTEGER) [PK], nombre (TEXT), apellidos (TEXT), curso (TEXT), mail (TEXT)"
asignaturas,7,"id (TEXT) [PK], nombre (TEXT), creditos (TEXT), descripcion (TEXT), RA (TEXT), color (TEXT)"
ce,0,"id (TEXT) [PK], codigo (TEXT), descripcion (TEXT), ra_id (TEXT)"
curso_asignatura,7,"curso_id (TEXT) [PK], asignatura_id (TEXT) [PK]"
cursos,5,"id (TEXT) [PK], acronimo (TEXT), nombre (TEXT), nivel (TEXT), grado (TEXT), clase (TEXT)"
fct_tramos,2,"id (TEXT) [PK], dia_semana (INTEGER), hora_inicio (TEXT), hora_fin (TEXT), created_at (TEXT)"
festivos,1,"id (TEXT) [PK], start (TEXT), end (TEXT), title (TEXT), created_at (TEXT)"
horarios,6,"id (INTEGER) [PK], asignatura_id (TEXT), dia (TEXT), hora_inicio (TEXT), hora_fin (TEXT), curso_id (TEXT), created_at (TEXT)"
nombres,0,"id (INTEGER) [PK], nombre (TEXT)"
nota_ce,84,"alumno_id (INTEGER) [PK], asignatura_id (TEXT) [PK], ce_codigo (TEXT) [PK], nota (REAL), updated_at (TEXT)"
presencialidades,2,"id (TEXT) [PK], dia_semana (INTEGER), hora_inicio (TEXT), hora_fin (TEXT), created_at (TEXT)"
ra,0,"id (TEXT) [PK], codigo (TEXT), descripcion (TEXT), asignatura_id (TEXT)"
rango_lectivo,1,"id (INTEGER) [PK], start (TEXT), end (TEXT), updated_at (TEXT)"
sqlite_sequence,2,"name (), seq ()"
